time,item,placed,arrived,qty,lead_time,factor
2023-01-09,PAD-FOR-P,1,2,20,1.468671,1.468671
2023-01-09,WIP-TOY-P,1,2,32,0.669674,0.669674
2023-01-16,PAD-TOY-V,2,3,32,1.139103,1.139103
2023-01-16,PAD-FOR-V,2,3,26,1.010209,1.010209
2023-01-16,WIP-FOR-V,2,3,20,0.888558,0.888558
2023-01-23,PAD-TOY-P,3,4,8,1.173784,1.173784
2023-01-23,PAD-TOY-V,3,4,36,0.870609,0.870609
2023-01-23,BAT-FOR-P,2,4,12,2.446927,1.223464
2023-01-23,BAT-FOR-V,3,4,10,0.812094,0.406047
2023-01-23,WIP-FOR-P,3,4,12,0.559683,0.559683
2023-01-30,BAT-TOY-P,2,5,5,3.179736,1.589868
2023-01-30,BAT-TOY-V,3,5,9,1.956619,0.97831
2023-01-30,WIP-TOY-V,4,5,16,1.016364,1.016364
2023-02-06,PAD-TOY-P,5,6,10,1.031927,1.031927
2023-02-06,BAT-TOY-P,3,6,14,2.936975,1.468488
2023-02-06,BAT-TOY-V,4,6,9,1.884247,0.942124
2023-02-13,PAD-FOR-V,6,7,22,1.185887,1.185887
2023-02-13,WIP-TOY-V,6,7,28,1.304942,1.304942
2023-02-13,WIP-FOR-P,6,7,12,0.950826,0.950826
2023-02-20,PAD-TOY-P,7,8,16,0.934551,0.934551
2023-02-20,BAT-TOY-P,6,8,6,2.025228,1.012614
2023-02-20,BAT-FOR-P,6,8,5,1.796894,0.898447
2023-02-20,WIP-TOY-V,7,8,36,0.815983,0.815983
2023-02-20,WIP-FOR-P,7,8,20,1.178628,1.178628
2023-02-20,WIP-FOR-V,7,8,20,0.773763,0.773763
2023-02-27,PAD-TOY-V,8,9,32,0.767857,0.767857
2023-02-27,BAT-TOY-V,7,9,13,1.662021,0.831011
2023-02-27,BAT-FOR-V,7,9,5,2.087337,1.043668
2023-03-06,BAT-FOR-P,8,10,5,1.629158,0.814579
2023-03-06,BAT-FOR-V,8,10,6,1.75619,0.878095
2023-03-06,WIP-TOY-V,9,10,20,1.26354,1.26354
2023-03-06,WIP-FOR-V,9,10,12,0.973113,0.973113
2023-03-13,PAD-TOY-P,10,11,12,0.826801,0.826801
2023-03-13,PAD-TOY-V,9,11,44,1.737748,1.737748
2023-03-13,PAD-FOR-V,10,11,16,1.032376,1.032376
2023-03-13,BAT-TOY-P,9,11,7,1.783168,0.891584
2023-03-13,BAT-TOY-V,9,11,9,2.352054,1.176027
2023-03-13,BAT-FOR-V,10,11,8,1.309154,0.654577
2023-03-20,PAD-TOY-P,11,12,10,0.919806,0.919806
2023-03-20,PAD-FOR-P,11,12,8,0.901469,0.901469
2023-03-20,PAD-FOR-V,11,12,14,0.861512,0.861512
2023-03-20,BAT-FOR-V,11,12,8,1.020215,0.510107
2023-03-20,WIP-TOY-P,11,12,12,1.02708,1.02708
2023-03-20,WIP-TOY-V,11,12,32,0.982535,0.982535
2023-03-20,WIP-FOR-P,10,12,20,1.607934,1.607934
2023-03-20,WIP-FOR-V,11,12,12,1.380212,1.380212
2023-03-27,PAD-TOY-V,12,13,20,0.568518,0.568518
2023-03-27,BAT-TOY-P,11,13,6,2.455111,1.227556
2023-03-27,BAT-TOY-V,12,13,13,1.452257,0.726129
2023-03-27,WIP-FOR-P,12,13,12,0.963841,0.963841
2023-03-27,WIP-FOR-V,12,13,16,0.695133,0.695133
2023-04-03,PAD-FOR-V,13,14,22,0.701495,0.701495
2023-04-03,BAT-FOR-P,11,14,7,2.737781,1.368891
2023-04-03,WIP-TOY-P,13,14,12,1.360896,1.360896
2023-04-03,WIP-TOY-V,13,14,32,1.445769,1.445769
2023-04-03,WIP-FOR-P,13,14,12,1.372351,1.372351
2023-04-03,WIP-FOR-V,13,14,16,0.367537,0.367537
2023-04-10,PAD-TOY-P,14,15,12,0.966938,0.966938
2023-04-10,PAD-FOR-P,14,15,6,0.942997,0.942997
2023-04-10,BAT-TOY-V,13,15,12,2.010186,1.005093
2023-04-10,BAT-FOR-V,13,15,9,1.537371,0.768686
2023-04-10,WIP-TOY-P,14,15,16,0.897171,0.897171
2023-04-10,WIP-FOR-V,14,15,20,1.066536,1.066536
2023-04-17,PAD-TOY-V,15,16,34,1.044949,1.044949
2023-04-17,PAD-FOR-V,15,16,20,1.202615,1.202615
2023-04-17,BAT-FOR-P,14,16,4,1.542015,0.771008
2023-04-17,WIP-TOY-P,15,16,20,1.406446,1.406446
2023-04-17,WIP-TOY-V,15,16,20,0.52154,0.52154
2023-04-24,PAD-FOR-P,16,17,4,0.800751,0.800751
2023-04-24,BAT-FOR-V,15,17,8,2.347843,1.173922
2023-04-24,WIP-FOR-P,16,17,12,0.850857,0.850857
2023-04-24,WIP-FOR-V,16,17,24,1.021108,1.021108
2023-05-01,PAD-TOY-P,17,18,10,0.887839,0.887839
2023-05-01,PAD-TOY-V,17,18,16,1.480552,1.480552
2023-05-01,PAD-FOR-V,17,18,14,0.901501,0.901501
2023-05-01,BAT-TOY-P,15,18,4,2.623285,1.311643
2023-05-01,BAT-TOY-P,17,18,4,1.379335,0.689667
