day,open,high,low,close,volume
1,100.0,101.21,99.92,100.97,1205141
2,100.97,103.21,100.94,102.84,1102352
3,102.84,103.09,102.49,102.71,1034428
4,102.71,104.44,102.63,103.78,968673
5,103.78,104.26,101.88,102.4,799159
6,102.4,102.77,100.71,100.97,1209370
7,100.97,103.94,100.63,103.43,1139196
8,103.43,105.28,102.83,104.99,891972
9,104.99,105.28,103.11,103.33,1338031
10,103.33,103.61,102.78,103.5,1034485
11,103.5,103.6,101.24,102.01,2508416
12,102.01,102.16,101.03,101.25,921958
13,101.25,101.6,100.41,101.23,744727
14,101.23,102.15,101.17,102.04,766319
15,102.04,102.27,101.56,101.68,999193
16,101.68,104.6,101.58,103.97,745180
17,103.97,105.02,101.84,101.91,1047811
18,101.91,102.42,100.01,100.08,1528927
19,100.08,101.27,99.73,100.97,1043235
20,100.97,103.04,100.89,102.97,1063525
21,102.97,107.06,102.72,106.37,1763187
22,106.37,107.46,106.26,107.37,978143
23,107.37,107.39,104.03,104.24,1563493
24,104.24,104.94,103.77,104.51,938277
25,104.51,104.58,103.85,104.12,1076867
26,104.12,105.47,103.81,105.04,1138633
27,105.04,105.62,104.88,105.33,869676
28,105.33,107.27,104.9,107.03,1241481
29,107.03,107.65,105.53,105.54,906824
30,105.54,107.1,104.77,106.27,753846
31,106.27,106.9,104.4,104.88,834737
32,104.88,105.41,103.6,103.71,2023687
33,103.71,107.45,103.11,106.94,1456119
34,106.94,108.82,106.32,108.68,1174274
35,108.68,110.4,108.03,109.86,958955
36,109.86,109.92,109.79,109.88,888191
37,109.88,112.52,109.7,111.97,801969
38,111.97,112.96,111.78,112.75,867020
39,112.75,113.52,112.65,113.01,942182
40,113.01,113.3,109.16,109.55,1236888
41,109.55,110.12,107.63,107.69,1278730
42,107.69,108.18,107.28,108.02,906703
43,108.02,108.31,106.47,107.59,1044938
44,107.59,109.55,107.2,109.15,1005088
45,109.15,111.39,108.33,110.79,1525165
46,110.79,111.59,109.17,109.86,1343922
47,109.86,110.7,109.56,110.5,1304380
48,110.5,110.75,107.6,107.61,1459119
49,107.61,107.75,105.79,105.9,951766
50,105.9,106.81,105.45,105.98,1282203
51,105.98,106.44,104.19,104.47,1065794
52,104.47,104.66,101.17,101.45,2502900
53,101.45,101.73,99.72,100.16,1655699
54,100.16,100.34,99.54,99.73,1067212
55,99.73,101.88,99.37,101.1,1526784
56,101.1,101.22,99.87,100.64,1404345
57,100.64,100.93,99.93,99.96,1108020
58,99.96,106.15,99.73,105.9,1429635
59,105.9,108.01,105.34,107.53,1256257
60,107.53,109.03,107.07,107.9,1246397
61,107.9,108.5,107.64,107.81,762625
62,107.81,108.14,105.16,105.69,1065824
63,105.69,106.26,104.69,105.89,517587
64,105.89,106.14,104.32,104.46,1000598
65,104.46,105.56,103.84,105.54,1026298
66,105.54,106.32,102.77,102.94,1319231
67,102.94,108.19,102.45,107.98,1677037
68,107.98,109.64,107.81,109.46,2122893
69,109.46,109.92,109.43,109.68,1165595
70,109.68,112.25,109.44,111.57,966083
71,111.57,112.11,111.27,111.38,1031486
72,111.38,111.59,109.12,110.4,1473575
73,110.4,113.02,110.33,112.57,931274
74,112.57,115.21,111.93,114.71,1148270
75,114.71,114.88,112.14,112.63,1950678
76,112.63,113.76,112.39,113.65,962107
77,113.65,114.47,111.99,112.2,1476603
78,112.2,115.84,111.07,115.67,1709599
79,115.67,118.56,115.52,117.8,1112816
80,117.8,117.91,114.38,114.72,2295638
81,114.72,115.72,113.09,113.5,1039329
82,113.5,115.31,113.0,114.78,1432129
83,114.78,115.4,113.38,113.88,879346
84,113.88,114.13,111.22,111.63,1012594
85,111.63,113.97,111.18,113.59,1929063
86,113.59,117.1,113.2,116.5,1062898
87,116.5,116.74,110.9,111.01,2156653
88,111.01,111.02,107.82,108.09,1345036
89,108.09,112.12,107.53,111.78,1342026
90,111.78,116.62,111.76,116.51,1830593
91,116.51,116.96,112.99,113.73,1511861
92,113.73,113.76,109.47,110.06,2455430
93,110.06,111.31,109.6,110.96,1349850
94,110.96,111.59,97.38,97.4,2329537
95,97.4,98.04,94.55,94.67,1191329
96,94.67,103.36,94.39,103.27,2628059
97,103.27,103.59,97.57,97.76,1773600
98,97.76,98.23,97.26,97.56,982208
99,97.56,99.59,97.55,99.48,1204680
100,99.48,100.52,99.26,100.37,1932449
101,100.37,104.11,100.09,103.8,1924366
102,103.8,106.07,103.77,106.06,2238460
103,106.06,109.11,105.49,109.04,1311779
104,109.04,115.68,108.75,115.27,3079917
105,115.27,116.22,115.24,115.93,1095205
106,115.93,117.1,110.75,111.08,1604799
107,111.08,112.53,110.03,112.26,961418
108,112.26,113.43,111.68,113.41,904258
109,113.41,114.41,113.33,114.23,1209313
110,114.23,114.39,110.27,110.74,2188228
111,110.74,110.91,110.56,110.78,1049557
112,110.78,110.91,108.94,109.23,1035720
113,109.23,110.24,107.54,107.69,1513380
114,107.69,107.91,107.39,107.81,1432022
115,107.81,110.39,107.46,110.19,1470418
116,110.19,110.35,108.91,109.26,1328960
117,109.26,109.34,107.47,108.22,1210127
118,108.22,108.32,107.24,107.39,1456868
119,107.39,107.53,102.41,102.66,1863004
120,102.66,102.99,100.34,100.36,1337979
