item,model,grade,grade_factor,refurb_cost,retail_return,retail_rate,wholesale_rate
14-A,14,A,1.0,5.0,0.05,0.72,0.24
14-B,14,B,0.85,25.0,0.06,0.88,0.48
14-C,14,C,0.68,60.0,0.11,0.4,0.64
14-D,14,D,0.42,10.0,0.13,0.12,0.8
15-A,15,A,1.0,5.0,0.05,0.9,0.3
15-B,15,B,0.85,25.0,0.06,1.1,0.6
15-C,15,C,0.68,60.0,0.11,0.5,0.8
15-D,15,D,0.42,10.0,0.13,0.15,1.0
16P-A,16P,A,1.0,5.0,0.05,0.81,0.27
16P-B,16P,B,0.85,25.0,0.06,0.99,0.54
16P-C,16P,C,0.68,60.0,0.11,0.45,0.72
16P-D,16P,D,0.42,10.0,0.13,0.135,0.9
17-A,17,A,1.0,5.0,0.05,0.54,0.18
17-B,17,B,0.85,25.0,0.06,0.66,0.36
17-C,17,C,0.68,60.0,0.11,0.3,0.48
17-D,17,D,0.42,10.0,0.13,0.09,0.6
